"2018-08-22","14913"
"2018-08-23","14948"
"2018-08-24","15137"
"2018-08-25","12271"
"2018-08-26","15122"
"2018-08-27","15613"
"2018-08-28","13831"
"2018-08-29","14911"
"2018-08-30","14974"
"2018-08-31","13083"
"2018-09-01","9993"
"2018-09-02","12555"
"2018-09-03","13220"
"2018-09-04","14278"
"2018-09-05","14780"
"2018-09-06","14148"
"2018-09-07","13578"
"2018-09-08","12020"
"2018-09-09","13804"
"2018-09-10","14480"
"2018-09-11","15266"
"2018-09-12","14135"
"2018-09-13","15186"
"2018-09-14","14720"
"2018-09-15","12196"
"2018-09-16","13816"
"2018-09-17","15585"
"2018-09-18","13903"
"2018-09-19","15597"
"2018-09-20","13707"
"2018-09-21","12724"
"2018-09-22","11571"
"2018-09-23","14266"
"2018-09-24","15564"
"2018-09-25","13246"
"2018-09-26","11755"
"2018-09-27","13869"
"2018-09-28","14167"
"2018-09-29","11990"
"2018-09-30","14500"
"2018-10-01","15126"
"2018-10-02","15199"
"2018-10-03","15242"
"2018-10-04","14822"
"2018-10-05","14056"
"2018-10-06","11382"
"2018-10-07","13122"
"2018-10-08","12858"
"2018-10-09","12525"
"2018-10-10","14209"
"2018-10-11","11818"
"2018-10-12","13190"
"2018-10-13","11206"
"2018-10-14","12920"
"2018-10-15","11960"
"2018-10-16","14281"
"2018-10-17","14882"
"2018-10-18","14262"
"2018-10-19","13546"
"2018-10-20","12007"
"2018-10-21","13730"
"2018-10-22","14726"
"2018-10-23","14924"
"2018-10-24","15552"
"2018-10-25","14419"
"2018-10-26","13428"
"2018-10-27","11939"
"2018-10-28","13843"
"2018-10-29","15311"
"2018-10-30","15034"
"2018-10-31","13126"
"2018-11-01","13648"
"2018-11-02","14002"
"2018-11-03","12637"
"2018-11-04","14587"
"2018-11-05","14154"
"2018-11-06","13208"
"2018-11-07","14306"
"2018-11-08","13640"
"2018-11-09","10030"
"2018-11-10","11301"
"2018-11-11","13734"
"2018-11-12","12445"
"2018-11-13","12479"
"2018-11-14","13353"
"2018-11-15","9489"
"2018-11-16","9548"
"2018-11-17","10258"
"2018-11-18","13462"
"2018-11-19","14206"
"2018-11-20","12892"
"2018-11-21","14236"
"2018-11-22","9721"
"2018-11-23","11992"
"2018-11-24","13817"
"2018-11-25","12978"
"2018-11-26","9867"
"2018-11-27","10702"
"2018-11-28","12843"
"2018-11-29","13942"
"2018-11-30","15472"
"2018-12-01","11086"
"2018-12-02","12313"
"2018-12-03","14233"
"2018-12-04","14211"
"2018-12-05","14472"
"2018-12-06","14154"
"2018-12-07","14399"
"2018-12-08","11229"
"2018-12-09","12106"
"2018-12-10","13201"
"2018-12-11","14466"
"2018-12-12","14856"
"2018-12-13","14297"
"2018-12-14","12593"
"2018-12-15","11162"
"2018-12-16","12878"
"2018-12-17","15245"
"2018-12-18","13566"
"2018-12-19","13712"
"2018-12-20","10742"
"2018-12-21","9384"
"2018-12-22","10818"
"2018-12-23","13335"
"2018-12-24","12143"
"2018-12-25","12304"
"2018-12-26","12191"
"2018-12-27","9017"
"2018-12-28","8540"
"2018-12-29","9690"
"2018-12-30","12064"
"2018-12-31","10506"
